<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.ETH/USD;60;20180101;010000;750.1100000;751.0000000;743.9600000;746.0800000;2789
BTSX.ETH/USD;60;20180101;020000;746.0900000;747.7900000;743.0000000;743.0100000;2007
BTSX.ETH/USD;60;20180101;030000;743.0100000;743.0100000;740.3300000;741.2700000;2952
BTSX.ETH/USD;60;20180101;040000;741.2400000;741.2400000;733.6900000;734.5900000;2247
BTSX.ETH/USD;60;20180101;050000;734.5900000;735.1000000;730.0100000;730.0200000;1985
BTSX.ETH/USD;60;20180101;060000;730.0200000;730.5000000;727.1400000;730.0100000;2718
BTSX.ETH/USD;60;20180101;070000;730.0100000;739.7000000;728.6600000;739.7000000;3759
BTSX.ETH/USD;60;20180101;080000;739.7000000;748.0700000;733.0200000;747.9000000;2741
BTSX.ETH/USD;60;20180101;090000;747.9000000;747.9100000;739.9900000;746.8900000;2487
BTSX.ETH/USD;60;20180101;100000;746.9000000;758.0000000;741.0400000;757.8600000;2863
BTSX.ETH/USD;60;20180101;110000;757.8600000;758.0000000;750.2100000;751.3900000;2337
BTSX.ETH/USD;60;20180101;120000;751.3900000;754.0000000;730.3800000;742.9900000;2641
BTSX.ETH/USD;60;20180101;130000;742.9600000;750.0000000;740.7200000;750.0000000;1073
BTSX.ETH/USD;60;20180101;140000;750.0000000;754.7900000;738.6200000;754.4000000;981
BTSX.ETH/USD;60;20180101;150000;754.4000000;754.8100000;739.6600000;745.9100000;1146
BTSX.ETH/USD;60;20180101;160000;745.9000000;751.4300000;743.4500000;750.5000000;1105
BTSX.ETH/USD;60;20180101;170000;750.5100000;750.5100000;738.0000000;742.5000000;1256
BTSX.ETH/USD;60;20180101;180000;742.5000000;744.5000000;732.0000000;744.4900000;2175
BTSX.ETH/USD;60;20180101;190000;744.4900000;749.0000000;738.0100000;747.3600000;1708
BTSX.ETH/USD;60;20180101;200000;747.3700000;748.0000000;738.5600000;742.2300000;2062
BTSX.ETH/USD;60;20180101;210000;742.2400000;745.0100000;741.2500000;744.9900000;2352
BTSX.ETH/USD;60;20180101;220000;745.0000000;745.0000000;738.8900000;741.3200000;2640
BTSX.ETH/USD;60;20180101;230000;741.3100000;749.9100000;738.8600000;749.9100000;2712
BTSX.ETH/USD;60;20180102;000000;749.8700000;755.0000000;747.0400000;755.0000000;3443
BTSX.ETH/USD;60;20180102;010000;755.0000000;764.9500000;754.9900000;761.6800000;4740
BTSX.ETH/USD;60;20180102;020000;761.6900000;764.9700000;752.4400000;754.4200000;2469
BTSX.ETH/USD;60;20180102;030000;754.3900000;759.0300000;753.0400000;759.0300000;2029
BTSX.ETH/USD;60;20180102;040000;759.0300000;787.0000000;759.0200000;787.0000000;7990
BTSX.ETH/USD;60;20180102;050000;787.0000000;850.0000000;786.9900000;844.3700000;26727
BTSX.ETH/USD;60;20180102;060000;844.3700000;878.5000000;826.0000000;856.8200000;29285
BTSX.ETH/USD;60;20180102;070000;856.8200000;856.8300000;822.5100000;826.5000000;14859
BTSX.ETH/USD;60;20180102;080000;826.9000000;845.8300000;822.5000000;832.9600000;8171
BTSX.ETH/USD;60;20180102;090000;832.9700000;852.9200000;832.9700000;842.0000000;8621
BTSX.ETH/USD;60;20180102;100000;841.9900000;853.9800000;838.4300000;847.7600000;3971
